Usia Kepala Rumah Tangga,Pendidikan Terakhir,Status Petani,Jumlah Tanggungan Keluarga (termasuk Kepala Keluarga),Luas lahan yang dikelola,Status Kepemilikan Lahan,Komoditas Utama yang ditanam,Pola Tanam,Sistem Irigasi,Frekuensi Panen per Tahun,Produksi Rata - Rata per Panen (Kwintal/Ha),Harga Jual Rata-Rata Hasil Panen Utama (Rp/kg),Pernah Gagal Panen dalam 5 Tahun Terakhir?,Pengeluaran Rata-Rata Benih per Tahun (Rp),Pengeluaran Rata-Rata Pupuk per Tahun (Rp),Pengeluaran Rata-Rata Biaya Perawatan per Tahun (Rp),Stok Pupuk Saat Ini,Menerima Subsidi Benih/Pupuk Pemerintah?,Pernah Mengikuti Pelatihan dari Dinas/Kementerian?,Sumber Utama Pangan Pokok,Pernah Kehabisan Pangan Pokok dalam 3 Bulan Terakhir?,Status Kemandirian Pangan Rumah Tangga,Cadangan Pangan Keluarga dari Hasil Panen?,Strategi Saat Kekurangan Pangan atau Gagal Panen,Keikutsertaan dalam Koperasi atau Organisasi Tani,Pernah Menerima Bantuan Pangan Pemerintah?,Sumber Pinjaman Utama Saat Darurat,"Akses ke Informasi Pertanian (cuaca, harga, dll)",Sumber Informasi Pertanian Utama,Apakah mempunyai pekerjaan sampingan?,Pernah Terdampak Kekeringan Ekstrem dalam 5 Tahun Terakhir?,Kondisi Tanah Dominan (berdasarkan persepsi petani),Apakah pola tanam berubah akibat iklim?
28,SMP,Petani Penggarap,5,4.21,Milik Sendiri,Cabai,Rotasi,Sumur,3,4.17,7590,Tidak,1221714,583195,2727050,Ada,Tidak,Ya,Bantuan,Ya,Rentan,Tidak,Kurangi Konsumsi,Tidak,Tidak,Koperasi,Sedang,Tetangga,Tidak,Tidak,Kurang Subur,Ya
35,SMA,Petani Penggarap,7,3.1,Sewa,Padi,Monokultur,Irigasi Teknis,3,3.37,5595,Tidak,1989887,1621860,3539168,Habis,Tidak,Tidak,Beli Pasar,Tidak,Rentan,Ya,Pinjam Uang,Ya,Ya,Tetangga,Mudah,Tetangga,Tidak,Ya,Subur,Ya
50,SD,Petani Pemilik,2,4.69,Sewa,Bawang,Monokultur,Irigasi Teknis,4,5.14,3681,Ya,1050402,1151267,1353627,Habis,Tidak,Ya,Panen Sendiri,Tidak,Rentan,Ya,Pinjam Uang,Ya,Ya,Koperasi,Sulit,Internet,Tidak,Tidak,Sedang,Tidak
60,Diploma,Petani Pemilik,7,2.74,Bagi Hasil,Bawang,Tumpangsari,Tadah Hujan,4,5.14,7372,Tidak,1228064,2520193,3263532,Ada,Ya,Tidak,Beli Pasar,Tidak,Rentan,Tidak,Pinjam Uang,Tidak,Ya,Koperasi,Sulit,Penyuluh,Tidak,Tidak,Sedang,Ya
56,Diploma,Petani Penggarap,2,3.85,Sewa,Bawang,Monokultur,Irigasi Teknis,3,3.13,7592,Tidak,1327855,1548140,1684801,Habis,Tidak,Ya,Beli Pasar,Ya,Rentan,Ya,Jual Aset,Tidak,Tidak,Tetangga,Sulit,Tetangga,Tidak,Tidak,Subur,Ya
36,SMP,Petani Penggarap,2,3.22,Bagi Hasil,Cabai,Tumpangsari,Tadah Hujan,4,3.13,3158,Ya,604085,2743829,1092823,Ada,Ya,Tidak,Beli Pasar,Ya,Tidak Mandiri,Tidak,Jual Aset,Ya,Ya,Koperasi,Mudah,Penyuluh,Tidak,Ya,Sedang,Tidak
44,Diploma,Petani Penggarap,5,3.51,Milik Sendiri,Kedelai,Monokultur,Irigasi Teknis,1,3.6,6214,Ya,1639156,2471938,1761701,Ada,Tidak,Tidak,Panen Sendiri,Ya,Tidak Mandiri,Ya,Kurangi Konsumsi,Tidak,Ya,Tetangga,Mudah,Penyuluh,Tidak,Ya,Kurang Subur,Ya
55,Diploma,Buruh Tani,4,4.69,Milik Sendiri,Padi,Rotasi,Tadah Hujan,1,3.52,5447,Ya,1255869,718470,4622442,Ada,Ya,Ya,Bantuan,Tidak,Rentan,Ya,Pinjam Uang,Tidak,Ya,Bank,Mudah,Penyuluh,Ya,Tidak,Kurang Subur,Ya
48,SD,Petani Pemilik,3,2.55,Bagi Hasil,Bawang,Tumpangsari,Tadah Hujan,1,2.36,4260,Ya,763879,2546161,1975908,Habis,Tidak,Tidak,Bantuan,Ya,Mandiri,Tidak,Kurangi Konsumsi,Ya,Tidak,Koperasi,Sedang,Tetangga,Tidak,Tidak,Kurang Subur,Tidak
37,Sarjana,Petani Pemilik,6,1.8,Bagi Hasil,Cabai,Tumpangsari,Tadah Hujan,2,2.41,4269,Tidak,1120070,1604566,3271660,Habis,Tidak,Ya,Bantuan,Tidak,Tidak Mandiri,Ya,Pinjam Uang,Tidak,Ya,Bank,Sulit,Penyuluh,Tidak,Ya,Kurang Subur,Tidak
60,SMP,Buruh Tani,4,1.68,Bagi Hasil,Kedelai,Monokultur,Irigasi Teknis,1,2.26,4063,Ya,565585,1347580,1449021,Habis,Ya,Ya,Panen Sendiri,Tidak,Tidak Mandiri,Tidak,Jual Aset,Tidak,Ya,Bank,Mudah,Tetangga,Ya,Ya,Subur,Tidak
30,Diploma,Buruh Tani,2,1.87,Bagi Hasil,Cabai,Tumpangsari,Tadah Hujan,1,6.94,5177,Ya,647614,1774668,1326884,Ada,Ya,Ya,Bantuan,Ya,Tidak Mandiri,Tidak,Pinjam Uang,Ya,Ya,Tetangga,Sulit,Penyuluh,Tidak,Ya,Kurang Subur,Tidak
54,Diploma,Petani Pemilik,3,3.98,Bagi Hasil,Cabai,Rotasi,Sumur,2,5.2,7914,Tidak,1238877,1821855,3307208,Habis,Tidak,Tidak,Bantuan,Tidak,Tidak Mandiri,Tidak,Jual Aset,Ya,Ya,Bank,Sulit,Tetangga,Tidak,Tidak,Sedang,Tidak
50,SD,Buruh Tani,2,4.92,Bagi Hasil,Padi,Rotasi,Irigasi Teknis,3,2.04,4817,Ya,1160402,591022,4236002,Habis,Ya,Ya,Panen Sendiri,Tidak,Rentan,Ya,Pinjam Uang,Tidak,Tidak,Tetangga,Mudah,Penyuluh,Tidak,Tidak,Subur,Tidak
61,SMP,Buruh Tani,2,3.65,Sewa,Jagung,Tumpangsari,Tadah Hujan,1,5.57,5460,Ya,1708554,2100320,1329158,Ada,Tidak,Tidak,Beli Pasar,Tidak,Mandiri,Ya,Jual Aset,Ya,Tidak,Koperasi,Sedang,Tetangga,Ya,Tidak,Kurang Subur,Ya
45,Sarjana,Buruh Tani,3,0.85,Bagi Hasil,Cabai,Tumpangsari,Tadah Hujan,1,3.33,5373,Tidak,810404,1054441,2409991,Ada,Tidak,Ya,Bantuan,Tidak,Rentan,Ya,Kurangi Konsumsi,Tidak,Ya,Koperasi,Sedang,Tetangga,Ya,Tidak,Sedang,Ya
60,Sarjana,Buruh Tani,6,1.31,Milik Sendiri,Kedelai,Tumpangsari,Sumur,1,2.68,6388,Tidak,1266021,1960909,1798971,Habis,Tidak,Ya,Beli Pasar,Ya,Rentan,Tidak,Jual Aset,Ya,Tidak,Koperasi,Mudah,Penyuluh,Tidak,Ya,Kurang Subur,Ya
32,SD,Petani Pemilik,6,4.64,Sewa,Padi,Tumpangsari,Tadah Hujan,1,3.83,6859,Ya,1195995,1376649,4103839,Ada,Ya,Tidak,Bantuan,Tidak,Tidak Mandiri,Ya,Jual Aset,Ya,Tidak,Tetangga,Sulit,Tetangga,Ya,Tidak,Subur,Ya
43,SMP,Buruh Tani,6,1.43,Sewa,Padi,Monokultur,Sumur,3,5.98,5950,Ya,540010,1726815,4638183,Habis,Ya,Tidak,Bantuan,Ya,Rentan,Tidak,Jual Aset,Ya,Ya,Koperasi,Sulit,Internet,Ya,Ya,Subur,Tidak
46,Diploma,Petani Penggarap,7,0.87,Sewa,Kedelai,Tumpangsari,Tadah Hujan,3,3.42,7106,Tidak,630043,1580785,4685439,Habis,Ya,Tidak,Panen Sendiri,Ya,Rentan,Tidak,Jual Aset,Ya,Ya,Tetangga,Sedang,Tetangga,Ya,Tidak,Subur,Ya
52,SMA,Buruh Tani,4,2.3,Milik Sendiri,Jagung,Rotasi,Irigasi Teknis,2,7.18,5531,Ya,1401910,1108813,3752435,Ada,Tidak,Ya,Bantuan,Ya,Mandiri,Tidak,Pinjam Uang,Ya,Tidak,Bank,Sedang,Internet,Tidak,Tidak,Subur,Ya
31,SMP,Petani Pemilik,2,3.84,Bagi Hasil,Bawang,Tumpangsari,Tadah Hujan,2,5.58,4891,Ya,1253425,833344,3886273,Habis,Ya,Tidak,Bantuan,Tidak,Mandiri,Tidak,Kurangi Konsumsi,Tidak,Ya,Koperasi,Mudah,Penyuluh,Ya,Tidak,Subur,Tidak
51,SMP,Buruh Tani,7,4.94,Milik Sendiri,Padi,Monokultur,Sumur,4,6.13,6748,Ya,1396649,2198134,4255680,Ada,Tidak,Tidak,Beli Pasar,Ya,Tidak Mandiri,Ya,Kurangi Konsumsi,Tidak,Ya,Koperasi,Sulit,Tetangga,Tidak,Ya,Kurang Subur,Tidak
58,SD,Petani Pemilik,4,2.25,Sewa,Kedelai,Tumpangsari,Irigasi Teknis,4,3.77,3446,Ya,1472195,2394559,1379336,Ada,Ya,Ya,Beli Pasar,Tidak,Rentan,Tidak,Pinjam Uang,Ya,Tidak,Tetangga,Sulit,Penyuluh,Tidak,Ya,Sedang,Tidak
35,SD,Petani Pemilik,2,3.56,Bagi Hasil,Kedelai,Monokultur,Tadah Hujan,4,6.36,7191,Ya,1294146,2808317,2596381,Ada,Ya,Tidak,Bantuan,Ya,Mandiri,Ya,Pinjam Uang,Ya,Tidak,Bank,Sedang,Tetangga,Tidak,Tidak,Kurang Subur,Ya
32,SMP,Petani Pemilik,2,3.15,Sewa,Padi,Tumpangsari,Sumur,4,5.26,3047,Tidak,998867,1409634,3469867,Habis,Tidak,Tidak,Beli Pasar,Ya,Tidak Mandiri,Ya,Pinjam Uang,Tidak,Ya,Koperasi,Mudah,Penyuluh,Ya,Tidak,Subur,Ya
27,Sarjana,Buruh Tani,4,1.72,Milik Sendiri,Padi,Monokultur,Sumur,2,2.97,5329,Ya,1454912,2928360,2510740,Ada,Ya,Tidak,Beli Pasar,Tidak,Rentan,Ya,Kurangi Konsumsi,Ya,Tidak,Bank,Mudah,Penyuluh,Tidak,Tidak,Kurang Subur,Tidak
58,SMP,Buruh Tani,3,3.1,Milik Sendiri,Bawang,Rotasi,Tadah Hujan,1,4.9,7954,Tidak,1395596,1827449,2089093,Habis,Ya,Tidak,Bantuan,Tidak,Rentan,Ya,Jual Aset,Ya,Tidak,Koperasi,Mudah,Penyuluh,Ya,Tidak,Kurang Subur,Ya
38,Sarjana,Petani Penggarap,5,0.32,Sewa,Bawang,Rotasi,Irigasi Teknis,1,5.84,5307,Tidak,642262,1790891,2259482,Habis,Ya,Ya,Bantuan,Tidak,Rentan,Tidak,Jual Aset,Ya,Ya,Koperasi,Sedang,Internet,Tidak,Tidak,Subur,Ya
55,SMP,Buruh Tani,5,4.47,Bagi Hasil,Kedelai,Tumpangsari,Sumur,1,7.01,5452,Tidak,1664290,2747666,1078510,Ada,Tidak,Tidak,Panen Sendiri,Ya,Rentan,Ya,Kurangi Konsumsi,Tidak,Ya,Tetangga,Sulit,Internet,Ya,Ya,Sedang,Tidak
27,SMA,Petani Penggarap,2,2.54,Milik Sendiri,Kedelai,Tumpangsari,Sumur,2,5.15,4433,Ya,1284787,656846,4262289,Ada,Ya,Tidak,Bantuan,Ya,Rentan,Ya,Pinjam Uang,Tidak,Tidak,Tetangga,Sulit,Internet,Tidak,Ya,Subur,Ya
38,SD,Petani Penggarap,5,3.6,Bagi Hasil,Padi,Monokultur,Sumur,1,6.12,7868,Ya,1198959,2458219,4729515,Ada,Ya,Tidak,Panen Sendiri,Tidak,Tidak Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Bank,Sedang,Tetangga,Tidak,Tidak,Kurang Subur,Ya
42,SMP,Petani Pemilik,4,0.66,Bagi Hasil,Bawang,Rotasi,Irigasi Teknis,2,5.26,7500,Tidak,1068437,1093732,4956393,Habis,Ya,Ya,Panen Sendiri,Tidak,Tidak Mandiri,Tidak,Jual Aset,Tidak,Ya,Koperasi,Mudah,Internet,Ya,Ya,Sedang,Ya
30,Diploma,Petani Penggarap,3,3.55,Bagi Hasil,Cabai,Rotasi,Sumur,3,3.99,4623,Ya,1476633,2881480,1552789,Ada,Tidak,Ya,Beli Pasar,Tidak,Tidak Mandiri,Tidak,Kurangi Konsumsi,Ya,Ya,Koperasi,Sulit,Internet,Tidak,Tidak,Subur,Tidak
45,Diploma,Petani Penggarap,2,0.42,Milik Sendiri,Kedelai,Tumpangsari,Sumur,2,3.69,5855,Ya,1565247,931728,2701570,Ada,Tidak,Ya,Beli Pasar,Tidak,Rentan,Tidak,Pinjam Uang,Ya,Ya,Bank,Sedang,Penyuluh,Tidak,Ya,Kurang Subur,Tidak
52,Sarjana,Petani Penggarap,6,3.5,Milik Sendiri,Padi,Rotasi,Tadah Hujan,4,2.69,7883,Tidak,1182367,2828206,1409590,Habis,Ya,Tidak,Beli Pasar,Ya,Tidak Mandiri,Ya,Jual Aset,Tidak,Tidak,Bank,Sulit,Tetangga,Ya,Ya,Subur,Ya
62,SD,Petani Pemilik,7,0.83,Bagi Hasil,Kedelai,Tumpangsari,Tadah Hujan,4,3.17,5593,Tidak,1695956,1777375,4852475,Habis,Tidak,Ya,Bantuan,Ya,Tidak Mandiri,Tidak,Pinjam Uang,Tidak,Ya,Bank,Sulit,Penyuluh,Ya,Tidak,Subur,Tidak
26,SMP,Petani Penggarap,7,2.99,Bagi Hasil,Kedelai,Rotasi,Sumur,4,4.29,7465,Ya,1889337,1227334,2991755,Ada,Ya,Tidak,Beli Pasar,Tidak,Mandiri,Tidak,Jual Aset,Ya,Ya,Koperasi,Mudah,Tetangga,Ya,Ya,Kurang Subur,Tidak
52,SMP,Petani Pemilik,3,3.25,Sewa,Cabai,Rotasi,Tadah Hujan,4,5.74,6722,Tidak,1657732,2387628,2613610,Habis,Ya,Ya,Beli Pasar,Ya,Tidak Mandiri,Tidak,Jual Aset,Ya,Tidak,Bank,Sulit,Tetangga,Tidak,Ya,Subur,Tidak
48,SD,Buruh Tani,5,4.81,Milik Sendiri,Jagung,Rotasi,Tadah Hujan,3,4.79,3640,Ya,1014287,2481605,3645191,Ada,Tidak,Ya,Beli Pasar,Ya,Rentan,Tidak,Jual Aset,Tidak,Tidak,Bank,Sedang,Internet,Tidak,Ya,Subur,Tidak
61,SMA,Petani Pemilik,7,2.42,Milik Sendiri,Bawang,Monokultur,Tadah Hujan,3,6.85,3223,Tidak,1516615,846072,1531927,Ada,Tidak,Tidak,Panen Sendiri,Tidak,Rentan,Tidak,Pinjam Uang,Ya,Ya,Tetangga,Sulit,Penyuluh,Tidak,Tidak,Subur,Tidak
40,Diploma,Petani Pemilik,6,4.32,Sewa,Padi,Monokultur,Tadah Hujan,2,7.03,6382,Tidak,999011,2346269,4045060,Ada,Ya,Tidak,Panen Sendiri,Tidak,Mandiri,Ya,Pinjam Uang,Tidak,Tidak,Bank,Sedang,Internet,Ya,Tidak,Kurang Subur,Tidak
55,SMA,Petani Pemilik,6,4.36,Milik Sendiri,Kedelai,Tumpangsari,Sumur,3,7.77,3336,Ya,1614202,1984062,4540996,Habis,Tidak,Tidak,Beli Pasar,Tidak,Mandiri,Tidak,Jual Aset,Tidak,Tidak,Tetangga,Sulit,Penyuluh,Ya,Tidak,Kurang Subur,Ya
45,Sarjana,Petani Pemilik,7,0.14,Milik Sendiri,Padi,Tumpangsari,Irigasi Teknis,1,6.11,5879,Ya,1094116,1556528,1809834,Ada,Ya,Ya,Panen Sendiri,Ya,Tidak Mandiri,Ya,Jual Aset,Ya,Ya,Tetangga,Mudah,Internet,Ya,Ya,Kurang Subur,Ya
